,Url,Alt. namn,Adress,Namn
0,Visa/carlgrenska-waldorfgymnasiet/bf4aeb94-88b6-4224-b4bd-002dd8a79ed4,,"Skebokvarnsvägen 370
tidigare Tegeluddsvägen 29",Carlgrenska Waldorfgymnasiet
1,Visa/larsboda-ro--1960-1991/7bb2e5c7-e0aa-4754-8ae4-0031a8370772,,,Larsboda ro  1960-1991
2,Visa/elektrum/5240aebb-c129-4615-9474-006c5b4ee11a,Electrum,Kistagången 14-18,Elektrum
3,Visa/slattgardsskolan/51e42e66-35c7-4a49-9355-00702528849e,,Frimurarvägen 11-17,Slättgårdsskolan
4,Visa/lovsatra-resursskola/de119201-dadb-4815-a834-00acf9f62cb2,Skärholmens skoldaghem / Skärholmens resursskola,"1971-2002 Falkholmsgränd 41 (tidigare Stångholmsbacken 91-95)
2002-2008 Lövsätragränd 42
2008-2009 Rusthållarvägen 5 (Bagarmossens skola)",Lövsätra resursskola
5,Visa/rektorsomraden-ro--overlarardistrikt-od--huvudskola--rektorsskola--annexskola/8ff70127-6f17-47e2-92e9-00f9b9543c06,,,Rektorsområden (Ro) / Överlärardistrikt (Öd) / Huvudskola / Rektorsskola / Annexskola
6,Visa/brannkyrka-skoldistrikt/31522222-10fd-4581-a518-0101b767bba8,,,Brännkyrka skoldistrikt
7,Visa/tantoskolan/8aba544f-7f8c-4c08-98ca-013d1df9214b,,Flintbacken 32,Tantoskolan
8,Visa/midsommarkransens-odro--1918-1936-1962/cf6f58af-d076-48d5-84a9-013e987c3cde,Liljeholmens öd,,Midsommarkransens öd/ro  (1918-)1936-1962
9,Visa/stadens-allmanna-barnskola/44645a06-9851-42d3-a007-01ca016e1dde,Allmänna barnskolan i Staden mellan broarna / Finemanska Lancasterskolan / Finemanska skolan,,Stadens allmänna barnskola
10,Visa/hasselby-gymnasium/102eb5f8-bece-4caa-bd81-027d8ff8ff56,,Aprikosgatan 72-74,Hässelby gymnasium
11,Visa/jaringeskolan/35c5f2b8-bb9b-4011-8f9d-0311d8e53a2b,,Järingegränd 4,Järingeskolan
12,Visa/hantverksskola/88ed3d0d-383f-4227-8455-03908691e0cb,,,Hantverksskola
13,Visa/jakob-och-johannes-forsamlings-od--1903-1940/cf3da784-4039-47b9-b8a6-039a87b4d215,,,Jakob och Johannes församlings öd  1903-1940
14,Visa/frimurarebarnhusets-skola/dc77b715-845b-4bfd-a268-03a482e04c59,,,Frimurarebarnhusets skola
15,Visa/sjostedtska-klassen/4789161a-d7ea-4037-b4ca-03c4130fd7a3,,,Sjöstedtska klassen
16,Visa/thea-privata-grundskola---bromma/09e61908-bf8a-4897-a711-03c7275f7967,Klara privata grundskola - Kungsholmen; Thea privata grundskola Bromma; Thea privata grundskola Kungsholmen,"Sysslomansgatan 18
2017-  Voltavägen 8-10",Thea privata grundskola - Bromma
17,Visa/norra-angby-skola/cdd7d082-bfcf-4f7a-aed1-03d04e562c36,Ängbyskolan / Ängby folkskola,Vultejusgatan 20,Norra Ängby skola
18,Visa/hagskolan/85bab633-904d-4b2f-b6ba-03ffe1cc243b,,Hagsätravägen 105-121,Hagskolan
19,Visa/internationella-hotell--och-restaurangskolan-/143a6177-b006-4ea4-a44d-0406357d3aab,Stockholms internationella restaurangskola,"2009-2012  Polhemsgatan 29
2012-2018  Sysslomansgatan 18
2018- Warfvinges väg 24",Internationella Hotell- och Restaurangskolan
20,Visa/skarpnacks-od-1--1931-1945/ca74ca6c-1455-46da-b7ff-04975755860f,,,Skarpnäcks öd 1  1931-1945
21,Visa/liljeholmens-komvux/5f9ad085-bc4d-4882-9f29-049fa121969c,,"199x-1997 Trekantsvägen 7
1997-2000 Lövholmsvägen 2
2002-?       d:o",Liljeholmens komvux
22,Visa/elektrikergymnasiet/eb960b52-40e0-45fa-87ac-04cead4c7217,,"2007-2013? Tellusborgsvägen 71
2014-      Radiusbacken 9",Elektrikergymnasiet
23,Visa/satra-ro--1965-1991/d907c8a8-a38b-4662-816b-04ff18e72d18,,,Sätra ro  1965-1991
24,Visa/ribbings-skola/66bf55af-974a-4bb6-a588-05178c878725,Barbro Ribbings privata småskola / Ribbings förberedande skola,1938 anges Brahegatan 39,Ribbings skola
25,Visa/mariana-fahlmans-skola/0fac0b6e-4ded-4b44-8af6-0555c8acd436,,Röda bodarne 1,Mariana Fahlmans skola
26,Visa/sakerhetsgymnasiet/18b6517d-47a3-40da-984e-05576d335403,,Isafjordsgatan 30B,Säkerhetsgymnasiet
27,Visa/stockholms-stads-hogre-folkskola-for-medborgerlig-bildning/c572fdf9-d302-4b61-acc7-0599d4502339,,,Stockholms stads högre folkskola för medborgerlig bildning
28,Visa/bernadottegymnasiet/0723aa32-ed4f-4da4-a4d1-059e050fceb1,,"Munchenbryggeriet 35, Söder Mälarstrand 65",Bernadottegymnasiet
29,Visa/liljeholmens-slojdskola/b5c56720-806a-4ef6-80cf-05d79115f315,Liljeholmens småskola,,Liljeholmens slöjdskola
30,Visa/atleticagymnasiet/51732aab-a718-407d-a931-0622a5a565e6,"Atletica idrottsgymnasium, Kista idrottsgymnasium,
Tibble gymnasium Campus Kista","Kistagången 16 / Isafjordsgatan 22
Nordenflychtsvägen 70",Atleticagymnasiet
31,Visa/ornbergs-skola/f636c0b5-ec47-4956-8902-062bae17b235,,,Örnbergs skola
32,Visa/hedvig-eleonora-skola/725d2e38-064f-43a6-b956-069038938cbc,Hedvig Eleonora folkskola,Linnégatan 54,Hedvig Eleonora skola
33,Visa/stockholms-praktiska-gymnasium-liljeholmen/14e7b697-de43-448f-abf2-06bdb7b30dc5,Praktiska Stockholm,Mejerivägen 2,Stockholms praktiska gymnasium Liljeholmen
34,Visa/eriksdals-odro--1938-1992/ad3830e2-8508-4758-890d-06c54f1b803d,,,Eriksdals öd/ro  1938-1992
35,Visa/jensen-gymnasium-internationella/488b70d6-daa9-4830-b603-06f6c21504fa,Jensen gymnasium Västra,Gjörwellsgatan 26 (26-28),Jensen gymnasium Internationella
36,Visa/zigenarskolan/3053c4a4-60dd-4816-bb3f-0700b5f15a77,,,Zigenarskolan
37,Visa/lovlundsskolan/6bb81035-caf1-4138-b909-07f51e05e83a,,Getfotsvägen 52,Lövlundsskolan
38,Visa/loviselundsskolan/9638ddeb-9832-45e2-858a-084be6b89b48,(Loviselundsskolans grundsärskola),Beata Sparres väg 16,Loviselundsskolan
39,Visa/abrahamsbergs-odro-1946-1991/1254bcca-e33d-4611-80e3-086d3a54a8d7,,,Abrahamsbergs öd/ro 1946-1991
40,Visa/bromma-gymnasium/0569ac94-660e-4f42-bf36-087339aa0c66,Högre allmänna läroverket i Bromma,Nyängsvägen 152-154,Bromma gymnasium
41,Visa/collegium-illustre--collegium-claraemontanum/2b94aa51-dcb5-4b1d-bb5c-087c4a12c1c2,,,Collegium illustre / Collegium Claraemontanum
42,Visa/optikerutbildning--optikerskolan/566913f9-73d0-448b-957a-08882a560375,,,Optikerutbildning / Optikerskolan
43,Visa/sjolins-ekonomiska-gymnasium--sjolins-ekonomiska-gymnasium-sodermalm/a898a977-1e35-406c-bf83-089f0630d139,Vittragymnasiet Södermalm,"2011-2014?  Sandbacksgatan 10
2015?-2016? Mäster Mikaels gata 10C
2016?-      Sandbacksgatan 10",Sjölins ekonomiska gymnasium / Sjölins ekonomiska gymnasium Södermalm
44,Visa/vasastadens-kommunala-flickskola/c72a98a0-ce60-4479-af26-08a34cd6d2d5,Vasastadens flickskola,Upplandsgatan 100,Vasastadens kommunala flickskola
45,Visa/bromma-od--1916-1929/f779e7dc-c86f-4f11-95d3-08f3cdb68ded,,,Bromma öd  1916-1929
46,Visa/internationella-engelska-skolan-i-enskede/476a100a-fdb8-4934-93cc-08fb85792a77,Engelska skolan söder / English School South / IES Enskede / Internationella Engelska Skolan Enskede,Lingvägen 123,Internationella Engelska skolan i Enskede
47,Visa/larkan/e2e5d030-3764-400c-9900-0901aef6230e,"Bredängstorg 21
senare-  Måsholmstorget 26-28 (åtm. from 2004)",se Historik mm !,Lärkan
48,Visa/p-a-fogelstroms-gymnasium/70b36ec3-6216-4c53-b4e4-092290149a9e,,"Blekingegatan 55   2017-2018
Stigbergsgatan 26  2018-",P A Fogelströms gymnasium
49,Visa/kongliga-theaterns-elevskola/d810d90d-7e8c-4cca-928b-0968a05547ce,Operans balettelevskola / Kongliga Theaterns balettelevskola,,Kongliga Theaterns elevskola
50,Visa/backluraskolan/f2c7fad3-5341-400a-9c4c-097e7b2903ac,,Brunklövergränd 12,Backluraskolan
51,Visa/fagerlind-moselius-skola/f30b4a30-3cc9-4e14-b775-09a2d5731cfa,Fagerlind Moselius skola,Norr Mälarstrand 24,Fagerlind-Moselius' skola
52,Visa/statens-kompletteringsgymnasium/5c5769b8-ffed-42a1-b1ca-09a7bdfd3f40,,,Statens kompletteringsgymnasium
53,Visa/dovstumlararseminariet/bffa9aca-c97c-42cb-8292-0a4a4e896d64,Manilla dövstumlärarseminarium1,,Dövstumlärarseminariet
54,Visa/horselklasser/07603f7a-5388-4f94-b8d1-0a7aaed17ab5,,,Hörselklasser
55,Visa/johannesbergs-folkskola/b5180cdb-41a0-4702-93d0-0a9088f487e2,,,Johannesbergs folkskola
56,Visa/galo-jordbruksskolor/76b3f773-f3cf-42b7-83b6-0ab8aa2a6515,,,Gålö jordbruksskolor
57,Visa/vasa-real-2-1996-/87e1c826-f5ac-42e9-b744-0b01143b8a68,,Karlbergsvägen 15,Vasa Real 2 1996-
58,Visa/stefanskolan/43814a2e-d400-42b4-a94d-0b0ea29a2ab4,,se Historik mm !,Stefanskolan
59,Visa/walthers-gymnasium-vallingby/b9782305-0e44-49ca-b96e-0b234233af50,,Krossgatan 32,Walthers gymnasium Vällingby
60,Visa/mamsell-ekstroms-skola/e4851a67-f889-4e58-a2c8-0b2af43f3e17,Hedvig Ekströms skola,"Kindstugatan 21 1893
Kindstugatan 1 1868",Mamsell Ekströms skola
61,Visa/alvsjo-od--1918-1952/f13cc283-2510-4d1c-ba8e-0b4a5a3a1909,,,Älvsjö öd  1918-1952
62,Visa/fortsattnings--och-ersattningsskolorna/a28722fc-823d-4831-9ded-0b9fbfb6edd3,Stockholms fortsättningsskolor / Stockholms fortsättningsskola för gossar / Stockholms fortsättningsskola för flickor,,Fortsättnings- och ersättningsskolorna
63,Visa/ekbacksskolan/e6236d86-4a6f-4376-91d0-0bba90398eb4,,Ystadsvägen 36,Ekbacksskolan
64,Visa/internationella-engelska-skolan-i-hasselby-strand/ff739102-665c-4225-bfc0-0bdde5a6a522,IES Hässelby Strand,Aprikosgatan 68-74,Internationella Engelska skolan i Hässelby Strand
65,Visa/jarvaskolan/702e7e41-9897-4f6c-b8a5-0bf3ecb6c835,,Isafjordsgatan 30 C,Järvaskolan
66,Visa/europaskolan-pa-sodermalm/e5155a0b-b1f4-4bb1-bca6-0c03af0df16f,,"Sandåsgatan 2
2007?- Gotlandsgatan 43",Europaskolan på Södermalm
67,Visa/jb-gymnasiet-stockholm/e8876eb8-4cb1-4f1e-853a-0c140b3412cc,John Bauergymnasiet Stockholm,Årstaängsvägen 33,JB Gymnasiet Stockholm
68,Visa/bromma-skolrad/7eaf0a81-300f-4f0d-8833-0c1832f72ea2,,,Bromma skolråd
69,Visa/adolf-fredriks-lagre-elementarlaroverk/d5878a76-9407-4bce-a1cc-0d145abaa692,Adolf Fredriks kyrkskola / Adolf Fredriks lägre apologistskola,Kammakargatan 8,Adolf Fredriks lägre elementarläroverk
70,Visa/fortbildningsinstitutet-i-stockholm/93eb9664-2210-445e-9080-0d54ff0baa9b,,,Fortbildningsinstitutet i Stockholm
71,Visa/hagerstensasens-odro--1945-1969/e5734397-94df-4ea0-87ec-0d676d2c1077,,,Hägerstensåsens öd/ro  1945-1969
72,Visa/wallinska-skolan/d3883a4a-42c6-4e85-8eed-0dbed7c7f678,,Tegnérlunden 5,Wallinska skolan
73,Visa/scengymnasiet-i-stockholm/54aaba86-d5d2-47f9-8e37-0dc06676ff1d,Stockholms gymnasium för scenkonst / Scengymnasiet / Scengymnasiet S:t Erik,"Ekholmsvägen 80 vt 2008 
Bredholmstorget 4 ht 2009
Polhemsgatan 35 ht 2013",Scengymnasiet i Stockholm
74,Visa/it-gymnasiet-i-kista-rissne/5b3b795f-87b2-4bc3-a704-0dfd200931d7,,se Historik mm !,IT-gymnasiet i Kista-Rissne
75,Visa/blommensbergs-odro--1918-1973/dde8a6c7-48bd-4131-af0d-0e9f3d412e87,,,Blommensbergs öd/ro  1918-1973
76,Visa/bromma-norra-od-1929-1940/0a887222-2b86-4c31-b4a4-0ed96a3b970d,,,Bromma norra öd 1929-1940
77,Visa/arsta-slojdskola-/38270334-b12d-4963-8a9b-0ee55fd6079c,Årsta småskola,,Årsta slöjdskola
78,Visa/statens-normalskola-for-flickor/db8336b8-3493-412b-8a05-0f2ae62abcc5,,Riddargatan 5,Statens normalskola för flickor
79,Visa/vittra-sodermalm-/95af3e9f-6967-45e0-bfb4-0f91d686e8d1,Vittra på Södermalm / L´Estradska / Vittra Grundskola Södermalm / Vittra Södermalm grundskola,Sandbacksgatan 10,Vittra Södermalm
80,Visa/brommaskolan-/108f8d64-3082-452c-a902-0f999ffa3170,,Tegnebyvägen 30-32,Brommaskolan ?
81,Visa/stora-gungans-folkskola/820f9a2b-a071-4323-9749-0ffa9daab15a,,,Stora Gungans folkskola
82,Visa/klara-teoretiska-gymnasium-sodra/f6757fd6-a13c-48ba-8a46-0ffc3c53efcc,Klara södra gymnasium; Klara teoretiska gymnasium Stockholm södra,Tullgårdsgatan 12,Klara teoretiska gymnasium Södra
83,Visa/pysslingen-skolor---hamnskolan/a09d7dec-1c8a-49b6-b1d9-103632fd08ef,"Hamnskolans förskolor och skola, Hamnskolan",Vintertullstorget 2,Pysslingen skolor - Hamnskolan
84,Visa/fredrique-lagstroms-skola/a6828c75-3b36-4ed1-88ac-105143a32dd1,Mamsell Frederique Lagströms skola / Lugström ?,"1863 ??
1868-1879 Hornsgatan 64",Fredrique Lagströms skola
85,Visa/slattens-folkskola/48bd8fcf-740b-4d85-9bfe-1098babd0721,,,Slättens folkskola
86,Visa/sandakraskolan/20c7b8bc-c03c-4d2d-bf09-111e7c73b91a,,Pepparkaksgränd 2-4,Sandåkraskolan
87,Visa/hjulsta-ro--1971-1991/0da8c34d-2b73-4160-a644-11a6d15185f2,,,Hjulsta ro  1971-1991
88,Visa/husbygardsskolan/ff03c55d-58a5-40ce-94b0-11cae496a18a,,"Trondheimsgatan 21, Edvard Griegsgången 26",Husbygårdsskolan
89,Visa/gubbangsskolan/834108f3-ef88-4bbe-b12d-11f315634137,,Gubbängsvägen 61,Gubbängsskolan
90,Visa/malmqvistska-barnuppfostringsanstaltens-skola/58650f59-d330-48ba-9bc3-11ff73b12087,,"(1852)1868-1898 Stora Skinnarviksgatan 22 (senare Torkel Knutssonsgatan).
1903 Torkel Knutssonsgatan 22",Malmqvistska barnuppfostringsanstaltens skola
91,Visa/nederlandska-skolan/67fedc78-8ad8-4528-9842-1244e4c9999d,,Konradsbergsgatan 3A,Nederländska skolan
92,Visa/katarina-smabarnsskola/64f154ff-db88-484c-ad1e-126ba4eb40cb,Sofia småbarnsskola,,Katarina småbarnsskola
93,Visa/sodermalms-allmanna-barnskola/765121aa-f4d3-4247-8597-127f9dacaefe,Södra allmänna barnskolan,,Södermalms allmänna barnskola
94,Visa/hokmossens-skola/a22d2458-7dcb-4778-8a4a-131e76fc7c1d,Hökmosseskolan,Dymlinggränd,Hökmossens skola
95,Visa/brannkyrka-vuxengymnasium/2861adb9-0047-42d0-9031-134a6bb80f3a,,,Brännkyrka vuxengymnasium
96,Visa/stockholms-stads-industri--och-hantverksskola/5b7093a0-bdad-4b75-9d18-138421466f37,Industri- och hantverksskolan,Polhemsgatan 35-39,Stockholms stads industri- och hantverksskola
97,Visa/ess-gymnasiet/876578e4-7a37-4e23-93f5-13c53c551156,ESS-skolorna / ESS-gymnasiets grundskola,Se Historik mm!,ESS-gymnasiet
98,Visa/ostermalmsskolans-ro--1968-1973/03b406c6-3342-49c8-902b-143fe9ee0999,,,Östermalmsskolans ro  1968-1973
99,Visa/enskedefaltets-od--1945-1955/42912ff5-2b2a-4b67-ba2e-147c4c45c224,,,Enskedefältets öd  1945-1955
100,Visa/katolska-forsamlingens-gosskola/98057f6e-c100-473d-8932-1481bf11c0db,,Götgatan 46,Katolska församlingens gosskola
101,Visa/kongl-armens-flottas-och-skeppsholms-fattigskola/e1d127f3-c8f3-4be6-9355-15303afda5d7,,,Kongl. Arméens Flottas och Skeppsholms fattigskola
102,Visa/kungsholmens-ro2--1973--1991/4742c9cf-ac46-43c8-a9dc-1541ec017695,Kungsholmens rektorsområde,,Kungsholmens ro2  1973 -1991
103,Visa/ringstedtskolan/c3ab5400-b5c6-44eb-b573-15c5d7826d2c,,Ringstedtgatan 10,Ringstedtskolan
104,Visa/kampetorp-resursskola/350b5e1c-816c-4d9a-9bcb-16d75262e5cc,Kämpetorps skoldaghem,Kedjevägen 57,Kämpetorp resursskola
105,Visa/kompletteringsskolan/0dcb14e9-eba8-414a-bbb4-16db3dea9cc7,Stiftelsen Kompletteringsskolan,,Kompletteringsskolan
106,Visa/introduktionsprogram/0d18c79d-f325-404b-9bfc-17083fa24cf1,,,Introduktionsprogram
107,Visa/vastbergaskolan-ab/1b59ee69-4a0b-42c1-9045-174f274e6cc7,(Västbergaskolans grundsärskola),Klensmedsvägen 2,Västbergaskolan AB
108,Visa/fru-fabricius-skola/1b4f8cb8-3b0e-4b42-951e-1753670baf78,Betty Fabricius skola,"Jakobsbergsgatan 19 1863
Regeringsgatan 66 1868",Fru Fabricius skola
109,Visa/nya-elementar-gymnasium-1828-1991-grundskola-from-1999/f773dc23-a921-4399-8005-176f8dbdfb0d,Nya Elementars gymnasium / Nya Elementarskolan i Stockholm / Statens provskola / (Nya Elementars grundsärskola),Bergslagsvägen 80,"Nya Elementar (gymnasium 1828-1991, grundskola from 1999)"
110,Visa/hasselby-villastads-ro--1972-1991/2d8839fe-7d5b-4510-9b0d-1795814909de,,,Hässelby villastads ro  1972-1991
111,Visa/overlarare--rektorer/396bd4a8-10a8-45f9-863f-179acc3ae8d8,,,Överlärare / Rektorer
112,Visa/framstegsskolan-lunda/9b3db8cf-15fd-464b-80fa-17f5552d359f,Islamiska skolan i Spånga (Lunda),"1995-2009? Saimagatan 57
2009-2018  Fagerstagatan 11",Framstegsskolan (Lunda)
113,Visa/stockholms-gymnasium/1fdd3c3d-208b-47e2-99f1-180385201c38,Högre elementarläroverket i Stockholm,se Historik mm !,Stockholms gymnasium
114,Visa/nybodahemmets-skola/401432de-a6e9-4e13-b5a0-18186718a954,,,Nybodahemmets skola
115,Visa/gymnastiska-centralinstitutet-gci/63d19d7f-5b76-4c6e-850f-184c040e3865,,,Gymnastiska centralinstitutet (GCI)
116,Visa/magelungens-grundskola-alvsjo-/e943961d-8f15-4925-9425-1892e4c7e14a,MBC skolan Älvsjö,Solberga Hagväg 1,Magelungens grundskola Älvsjö
117,Visa/stockholms-laspedagogiska-centrum-lpc/43bafbdd-a6b3-433e-a838-18d8b7786110,Blackebergs dyslexicentrum / Stockholms dyslexicentrum,"1993-1994 Björnsonssgatan 132 (Blackebergsskolan)
1994-1995 Kungsholms hamnplan 3 (S:t Örjans exp.)
1995-2003 Tomtebogatan 4",Stockholms läspedagogiska centrum (LPC)
118,Visa/grimsta-odro--1956-1991/4a9f4c08-05eb-425f-a5bd-190fa5d3fc86,,,Grimsta öd/ro  1956-1991
119,Visa/thorildsplans-gymnasium/bf93955b-3afe-4daf-9530-195eeb575563,"Högre tekniska läroverket i Stockholm / Tekniska gymnasiet I /
Thorildsplans vuxengymnasium",Drottningholmsvägen 82,Thorildsplans gymnasium
120,Visa/ehrenborgs-skola/df0d9eb0-2679-4eb3-9c3b-196e7c80d7b0,Fröken S.L. Ehrenborgs skola,1925 anges Ynglingagatan 19,Ehrenborgs skola
121,Visa/fyrklovern--kymlinge/9cc7efb5-9043-4bf6-a04f-19a9205f78da,,Dovregatan 16,Fyrklövern / Kymlinge
122,Visa/vastertorpsskolan/1e8b447c-ae51-4fa2-96a2-19c60f05add9,Västertorps skola,Störtloppsvägen 2,Västertorpsskolan
123,Visa/lararhogskolan-i-stockholm-klasslararlinjerna-i-med-foregangare-1958-1977/e893ee77-9c55-4a16-9e4f-19c737865673,,,"Lärarhögskolan i Stockholm, Klasslärarlinjerna I med föregångare 1958-1977"
124,Visa/vasa-vuxengymnasium/fdfd943b-3648-43e9-b508-19e22dc7a1d1,Vasa komvux,"1993-1994 Hälsingegatan
1994-1997 Dalagatan 19
1997-2002 Fridhemsgatan 9",Vasa vuxengymnasium
125,Visa/enskilda-gymnasiet/4f89f076-0957-43b8-ad86-19e40946d716,Enskilda gymnasiets grundskola,Tegnérlunden 5,Enskilda gymnasiet
126,Visa/barnbyn-ska-skola/760d141a-2d4d-4386-9696-19f6053b663a,,"Barnbyn Skå, Skå-Edeby",Barnbyn Skå skola
127,Visa/kista-grundskola/f52b5883-68db-4f80-a1ed-1a1c76f75090,(Kista grundskolas grundsärskola),se Historik mm!,Kista grundskola
128,Visa/internationella-engelska-skolan-i-kista/876998bb-209d-4f8a-a0d8-1a7490f70d90,IES Kista,Isafjordsgatan 39,Internationella engelska skolan i Kista
129,Visa/drottning-blankas-gymnasieskola-kungsholmen/b0030c0c-26f2-4c06-9ab3-1ad4ef67b8b3,DBGY Stockholm Kungsholmen,Warfvinges väg 24,Drottning Blankas gymnasieskola Kungsholmen
130,Visa/arstagardens-skola/34e96273-b940-467b-bccb-1b03a584e975,,Svärdlångsvägen 15,Årstagårdens skola
131,Visa/resursskolan-kompis/e94c5537-a6d5-452e-bef3-1b184fc3748e,,Bäverbäcksgränd 90,Resursskolan Kompis
132,Visa/fredhallsskolan/aefd1ff5-9d85-4f4b-b5ad-1b22e0587d1b,Fredhälls folkskola,Viktor Rydbergsgatan 1,Fredhällsskolan
133,Visa/cybergymnasiet-stockholm/3bcc3510-f2a6-416b-bc91-1b439bf3365a,"Cybergymnasiet Odenplan Norr, Cybergymnasiet Odenplan",Vanadisvägen 9B,Cybergymnasiet Stockholm
134,Visa/aspuddens-lagstadieskola/d14eedfa-4b56-4f45-8bba-1b803711223a,,Torsten Alms gata 2,Aspuddens lågstadieskola
135,Visa/fristaende-skola--friskola/c4890ebe-34aa-4cde-a743-1bce4d6562db,,,Fristående skola / Friskola
136,Visa/praktiska-realskolor/5acc9493-12c1-4502-832e-1c2b0e5768b0,,,Praktiska realskolor
137,Visa/handelsskola/cf526534-ae8b-4edd-abc1-1c5e7168d37f,,Brunkebergstorg 11,Handelsskola
138,Visa/daltorpsskolan/b1143680-7aea-4a12-8d69-1c93d128c011,,Lovisleundsvägen 23-25,Daltorpsskolan
139,Visa/alvsjoskolan/c04335ae-4da7-4c2c-b0c5-1c95567b4dec,Hagsätra norra skola / Hagsätra norra paviljongskola,Ormkärrsvägen,Älvsjöskolan
140,Visa/ekholmsskolan/d84fec86-0de0-4ac2-b4d7-1cd6f21cd5ea,Granholmsskolan,Ekholmsvägen 192-196,Ekholmsskolan
141,Visa/skondalsskolan/123fbd56-b395-49b0-9def-1d0991e345b5,,Perstorpsvägen 75,Sköndalsskolan
142,Visa/stadsmissionens-skola-1/eecbc8ce-3a24-4eeb-9203-1d315d4b6c71,,se Historik mm !,Stadsmissionens skola 1
143,Visa/hasselbystrandsskolan/b88d3aba-29fc-4041-aa1d-1d3cb5b0b4e7,,Aprikosgatan 72-74,Hässelbystrandsskolan
144,Visa/djurgymnasiet/cec2d933-1e53-4534-8493-1df8ddf4263c,Djurgymnasiet i Stockholm,Trekantsvägen 7,Djurgymnasiet
145,Visa/ludvigsberg/ee5a3500-75bf-450b-af0c-1e1b14020825,,,Ludvigsberg
146,Visa/barnhems--och-sjukhusskolorna--1918-1968/0a3dfc68-6466-413e-b7d8-1e996a3332d7,Sjukhusskolor 1968- / Barnhemskolor / Skolhem,,Barnhems- och sjukhusskolorna  (1918-1968)
147,Visa/teknikcenter/c59c05c3-8ce5-416f-981a-1ecb97f40f4d,,Bodholmsplan 2,Teknikcenter
148,Visa/liljanskolan/e11d9028-eb97-4c9a-a0da-1ef07bdc0804,Liljeholmens terapiskola / Terapiskolan Liljan / Lundaskolan 1,se Historik mm !,Liljanskolan
149,Visa/mamsell-berglofs-skola/97e26f3c-f2f6-4aae-8d59-1f2aac7a4283,,Storgatan 9  1863,Mamsell Berglöfs skola
150,Visa/satra-gamla-skola/6b40405c-15df-4e3c-89bd-1f407d2aad64,Sätra folkskola,Tankebyggarbacken,Sätra gamla skola
151,Visa/ovre-norrmalms-forberedande-elementarskola/deecbda3-8180-489c-87e0-20681136bb8e,Öfre Norrmalms förberedande elementarskola,Norrtullsgatan 8A,Övre Norrmalms förberedande elementarskola
152,Visa/essingeskolan/747776af-59e0-43cd-af59-20f45380b0ef,Stora Essingens skola / Stora Essingens folkskola / Essingens folkskola,Essingestråket 24,Essingeskolan
153,Visa/lillholmsskolan/d1230818-0cef-4bb2-a7cb-21001d84444f,,Stångholmsbacken 91-95,Lillholmsskolan
154,Visa/amu-center-johanneshov/ef7df5de-3039-400f-be76-212b2a3989b4,,,AMU-center Johanneshov
155,Visa/arbetsmarknads--och-utbildningsnamnden-arun/67134685-c415-4376-afcc-215324434a5c,Stockholms arbetsmarknads- och utbildningsnämnd,,Arbetsmarknads- och utbildningsnämnden (ARUN)
156,Visa/hjorthagens-skola/f8e110ce-d0ae-425b-97e6-2190583b51ee,Hjorthagens folkskola,Jägmästargatan 25,Hjorthagens skola
157,Visa/umma-grundsarskola/75e5838c-a7ef-4b30-a507-21e75b42531b,,Hjulsta torg 3A,Umma grundsärskola
158,Visa/kungstensgymnasiet/35c40382-18a6-479a-9061-2204770526fb,KSG,Kungstensgatan 45,Kungstensgymnasiet
159,Visa/jensen-grundskola-danvikstull/cd26bd35-dc3a-4d64-aea9-221e19530cbd,JENSEN,Alsnögatan 7-9,Jensen grundskola Danvikstull
160,Visa/pysslingen-skolor---jorielskolan/c18604b2-4803-473e-8586-2240bc674c6f,Jorielskolan / Jorielskolans grundsärskola,"2003 Långbro, hus 27
2004 Bergtallsvägen 6-12",Pysslingen Skolor - Jorielskolan
161,Visa/ekangens-skola/138bb5ac-7ca4-4688-b359-224dc846de52,,Svartlösavägen 117,Ekängens skola
162,Visa/kungliga-direktionen-over-stockholms-stads-undervisningsverk/82b58271-4c9f-4ef1-841f-224fc5921403,,,Kungliga direktionen över Stockholms stads undervisningsverk
163,Visa/adolf-fredriks-odro--1910-1940-1946-1992/a8ad0ceb-0f34-4054-8e33-225ee1c70617,,,"Adolf Fredriks öd/ro  1910-1940, 1946-1992"
164,Visa/hvilan-i-stockholm/b4830bf3-3905-4e02-b917-22c129f65867,,Frescati Hagväg 24,Hvilan i Stockholm
165,Visa/maria-kyrkskola/ffa6ddea-0f99-481f-bad4-22ef99daff1d,Maria fattigvårdsskola / Maria hantverksskola,,Maria kyrkskola
166,Visa/pysslingen-skolor-farstaangsskolan/0efb7c12-029a-4ac9-b122-234bdd93a7d7,Farstaängens skola / Knatteborgen / Farstaängsskolan,"Färnebogatan 51
Färnebogatan 79",Pysslingen skolor-Farstaängsskolan
167,Visa/aspuddens-odro--1948-1990/bba96992-8875-430e-b1f2-237b7f4e400f,,,Aspuddens öd/ro  1948-1990
168,Visa/skolan-for-sinnessloa-barn/4944bc9d-984b-4aac-b22c-23afaa24719a,Idiothemmets skola,,Skolan för sinnesslöa barn
169,Visa/kulturskolan-raketen/0666c838-8018-4ffb-975d-23b2c4c91138,Raketen,"Täppgränd 107-109
2001? Björkhagsplan 5-7",Kulturskolan Raketen
