,Url,Alt. namn,Adress,Namn
605,Visa/hammarbyskolan-norra/82d9cd43-0c4c-48cb-8527-77f9f7276823,Björkhagen och Hammarbys skolor - Hammarby / Hammarbyskolan norra,Finn Malmgrens väg 5-7 (tidigare även 9 resp. 11),Hammarbyskolan norra
606,Visa/vastberga-odro--1946-1984/3b3191d4-7f33-4728-becc-784acf148475,,,Västberga öd/ro  1946-1984
607,Visa/beskowska-skolan/1057d389-5ecc-4cdb-b38f-784fa4bacc58,G.E. Beskows skola,se Historik mm !,Beskowska skolan
608,Visa/futuraskolan-stockholm-bilingual/8376697c-6064-4960-922b-7861a0dcaabb,Futuraskolan Stockholm,Erik Dahlbergsgatan 58-62,Futuraskolan Stockholm Bilingual
609,Visa/kvallsundervisning/445ce704-34de-4d49-bcb2-787937e77d33,Kvällsgymnasier,,Kvällsundervisning
610,Visa/klara-od--1903-1933/b68dd7d2-a0c0-42e6-a9c4-78bfa97f5e98,,,Klara öd  1903-1933
611,Visa/storkyrkoforsamlingens-fri--och-fattigskola/2f2dd063-cde3-45bc-9602-78c3f971c133,,se Historik mm !,Storkyrkoförsamlingens fri- och fattigskola
612,Visa/st-gorans-od--1936-1944/b8798d47-4566-4b3f-84b9-78db702539a1,,,S:t Görans öd  1936-1944
613,Visa/kungsholmens-katekesskola/47233acb-3813-4fd8-b53f-78edc67e63f1,Kungsholmens kateketskola,,Kungsholmens katekesskola
614,Visa/lararhogskolan-i-stockholm-fortbildningsavdelningen/8a0890cb-fb7a-442a-97d2-7926c30ca0fc,,,"Lärarhögskolan i Stockholm, Fortbildningsavdelningen"
615,Visa/zinkendammskolan/76099db7-8fda-46c1-b31c-796fdeae387e,,Hornsgatan 93,Zinkendammskolan
616,Visa/lararhogskolan-i-stockholm-studie--och-yrkesorienteringslinjen-i-1971-1977/784eec73-f8b3-4d64-8434-7982697dcbd3,,,"Lärarhögskolan i Stockholm, Studie- och yrkesorienteringslinjen I 1971-1977"
617,Visa/shantungskolan/bade910b-8e2b-4d73-9106-79a5d6472bd2,,Alvik,Shantungskolan
618,Visa/enskede-skolrad/12852162-7dca-4f4a-bb50-79b20cff2f1f,,,Enskede skolråd
619,Visa/hagerstensasens-skola/b2f740e4-2c46-4684-a6d6-79f0e0dc21f5,,Sedelvägen 30,Hägerstensåsens skola
620,Visa/palmgrenska-samskolan/7b3e7246-0773-499c-82e4-7a2f5628686d,,se Historik mm !,Palmgrenska samskolan
621,Visa/dansgymnasiet/c5926cd0-940d-4a79-a432-7a2f75bb3e06,,Isafjordsgatan 30 B,Dansgymnasiet
622,Visa/sodra-real--och-aftonskolan/9cb27f15-3c1f-42bc-b94b-7a9ab4c97f25,,,Södra real- och aftonskolan
623,Visa/eriksdalsskolan--eriksdals-folkskola/5821b044-40e7-4bf8-af7a-7aa97941c3fe,(Eriksdalsskolans grundsärskola),Ringvägen 58-66,Eriksdalsskolan / Eriksdals folkskola
624,Visa/anneboda-smaskola/a7ff26cc-3f11-437c-9d0d-7ae2c2727b41,,,Anneboda småskola
625,Visa/pysslingen-skolor---vallingby-park/d6382b2c-94c6-4792-a21b-7b3b3f3f2e63,Vällingby Park,Östersundsgatan 5,Pysslingen Skolor - Vällingby Park
626,Visa/beta-school/13d1b119-9d41-4da4-a46a-7b3d3df46065,,"2007(?)-2018 Fagerstagatan 13
2019- Stora Mans väg 11b",Beta School
627,Visa/kungsholmens-kommunala-flickskola/f3118d14-4d1f-4ae6-80f3-7b66ea144fe0,,"1939-1940 Kungsholmstorg 4 (i fd elementarskolans lokaler)
1940-1968 Rålambsvägen 2


Rålambsvägen 2",Kungsholmens kommunala flickskola
628,Visa/vasterholms-friskola/8b070cbb-61b9-4230-8223-7b676de720ed,Västerholmsskolans friskola,Vårbergsvägen 41-43,Västerholms friskola
629,Visa/st-goransskolan/efd9633f-0d03-47c6-a6a9-7b7029dabcec,,Fridhemsgatan 17-19,S:t Göransskolan
630,Visa/solbergaskolans-grundsarskola-mockasinen-/8a237503-0d04-41ee-acbc-7bb99f66650e,Träningsskolan Mockasinen / Mockasinens träningsskola / Mockasinen,"Folkparksvägen 150
senare
Lerkrogsvägen 28",Solbergaskolans grundsärskola Mockasinen
631,Visa/solbergaskolan-grundsarskola-broskolan-/867f8e40-6c9c-4855-becd-7c075aa91667,Broskolan träningsskola / Broskolan,"-2011 Stora mans väg 1B (Långbro park)
2011- Lerkrogsvägen 28",Solbergaskolan grundsärskola Broskolan
632,Visa/jagerskiolds-kindergarten/db7af855-ae78-47be-baf8-7c1c1e73f5d4,Ingrid Jägerskiölds skola,1938 anges Lützengatan 9,Jägerskiölds Kindergarten
633,Visa/musikpedagogiska-institutet/0224c1af-43d6-448c-937d-7c5c899c1f25,,,Musikpedagogiska Institutet
634,Visa/gamla-maria-skola/9123d699-1094-4d9a-9965-7c6036fa161d,Maria gamla skola / Maria gamla folkskola,Timmermansgatan 28 / S:t Paulsgatan 41,Gamla Maria skola
635,Visa/privata-smabarnsskolan-for-gossar-och-flickor/304b960e-e93f-492e-b261-7cb1ccaf8a2e,,1920-talet ? anges Stora Badstugatan 3,Privata småbarnsskolan för gossar och flickor
636,Visa/hilda-cramrs-skola/b2a9e5b4-db5d-4641-a6cb-7ce3e86cfdb9,,Jakobsbergsgatan 20  1871,Hilda Cramérs skola
637,Visa/framstegsskolan-/be251a83-f449-4b19-b9d2-7ce72d5ecbda,Stiftelsen Framstegsskolan,Rågsveds skolgränd 8?,Framstegsskolan
638,Visa/whitlockska-samskolan/81f9e8c4-5b09-480f-94d8-7d1bd63e5fcd,Anna Whitlocks samskola / Stockholms nya samskola,Eriksbergsgatan 8B,Whitlockska samskolan
639,Visa/mamsell-carlssons-skola/5d88e146-5e5f-4e4b-9818-7dc70b4e1fea,Gustava Carlssons skola,"Kammakaregatan 85  1863
Kammakaregatan 35  1868, 1871",Mamsell Carlssons skola
640,Visa/ellen-keyskolan-/e3d97b88-5521-4bc1-a681-7dfbd76b95f4,"Ellen Keyskolan / Stiftelsen Ellen Key skolan / Ellen Key-skolan
(""Ellen Keygymnasiet"") / Ellen Keyskolan & gymnasiet",Duvbovägen 94,Ellen Keyskolan
641,Visa/farsta-grundskola-adolf-fredriks-musikklasser/1b743eb8-988f-4406-bd30-7e0b8600439b,,Farstavägen 118,Farsta grundskola Adolf Fredriks musikklasser
642,Visa/barnmorskelaroanstalten-i-stockholm/5907a87c-0b16-4b99-8fb2-7e444d834858,,Wollmar Yxkullsgatan 27,Barnmorskeläroanstalten i Stockholm
643,Visa/fruangens-skola/0fbe26d2-f16e-4d60-853b-7e463d0515ef,Fruängsskolan / Fruängens folkskola / Fruängens vuxengymnasium / (Fruängens skolas grundsärskola),Fruängsgatan 57-61,Fruängens skola
644,Visa/tillit-knatteborgen/d4491f58-6ba6-41a6-84a2-7e513eff7f2c,,Färnebogatan 52,Tillit knatteborgen
645,Visa/karlbergsskolan/5900515b-4189-417f-b80d-7e5330977981,Karlbergs skola / Karlbergs skolor,Norrbackagatan 31-33,Karlbergsskolan
646,Visa/granbergsskolan/60d26ef5-45db-4544-b98b-7e6f70fe927a,Granbergspaviljongen,Ålgrytevägen 6,Granbergsskolan
647,Visa/skolverkstaden/697f5a53-8eff-4fa5-9f57-7eba1abba59e,Skolverkstaden resursskola / Skolverkstaden skoldaghem / Skolverkstäder / Krillan / Kransen,se Historik mm !,Skolverkstaden
648,Visa/halsingegatan-2/d2e5ad49-ed0a-45f2-9c88-7ebe6e9b12d1,Skolan Hälsingegatan 2,Hälsingegatan 2,Hälsingegatan 2
649,Visa/gubbangens-vardgymnasium/38f9d9bb-9999-40ff-bc11-7ec14966ab3d,,,Gubbängens vårdgymnasium
