caption.sv,uuid
"Amundin, Holger (1906 - 1995)",35f820ab-ecbc-4908-ab9c-817aa4ec3643
"Ander, Carl Theodor (1856 - 1913)",d9a5509f-b58b-4a38-9fe4-b85e1847a618
"Ander, Gustav Simon (1876 - 1961)",c5a6988d-e23d-46c8-9d01-d38a02133764
"Anderson, Ester Elisabeth (1864 - 1945)",2e5a0ace-2cdd-4d95-bff9-7ba5da6078a4
"Anderson, John A (1869 - 1948)",c7af4883-8866-4217-b36f-8d7e722e5a53
"Anderson, Martin (1853 - )",1dbb0511-cf11-4571-accb-8262215d3c71
"Anderson, Nils Gunnar (1882 - )",f8c33599-8769-479e-8407-46df29c6c030
"Anderson, Regina Sofia Maria (1880 - 1959)",e7d3016e-ce95-4818-b5c1-f6d1777f4547
"Anderson, Werner Laurentius (1887 - 1966)",0ed143e6-4d29-4e78-afb5-95c71e3ba4b8
"Andersson 'Jont', Erik (1880 - )",85343368-7912-4b76-9db4-c3c6d15e9149
"Andersson 'Thors', Erik (1864 - )",d917ab65-63ff-4855-8266-05092b9eaf82
"Andersson Anderberg, Ola (1850 - )",31c60a1d-6616-4d83-ad1e-eea491a9bdf9
"Andersson Andrée, Karl Gustaf (1861 - 1931)",ac432b8b-b9bd-40a9-87e6-4079c8533473
"Andersson Dérans, Oskar Alexius (1879 - 1968)",3d31f9d0-90a4-4f42-b218-63a92d7e1421
Andersson Laura (1864 - 1961),b210711f-d337-414f-8f57-b380e3d2230c
"Andersson Lundell, Jonas (1876 - )",ea6142e5-defc-48c9-8771-b367fdb1d0d6
"Andersson, A. E.",1fae0e89-e3b7-420a-a25f-78a3dfadcde6
"Andersson, Agnes (1865 - 1958)",f1a36aa8-3d92-437d-9a3e-ec987d38c320
"Andersson, Agnes Amanda Helena (1884 - 1937)",c6ad13c4-f257-4f36-9a47-1420ead3097a
"Andersson, Agnes Viktoria (1890 - 1977)",f35b5681-4ce3-400e-a58b-c39a5ae3aef9
"Andersson, Albin (1866 - 1909)",9742e6d7-ca4c-4121-80fd-e99839703654
"Andersson, Algot",5a6103a3-9855-40f8-a93d-dbca2958c4c4
"Andersson, Alma Cathar. (1872 - )",6b079d72-84af-4f17-9703-4b009cab2e43
"Andersson, Amanda Wilhelmina (1882 - 1973)",dba46e8d-7842-4801-a306-0416d9bcdabc
"Andersson, Anders (1834 - 1916)",6c8dfcfe-3939-460f-8f94-75c1e9c492fd
"Andersson, Anders (1843 - 1880)",3efa2066-3fa3-4e51-840e-d361c7de511a
"Andersson, Anders (1861 - )",e254819b-d1c3-4e77-bd82-c66028e09f66
"Andersson, Anders (1866 - 1942)",b6a42fcd-c87a-4cdd-9aa5-151f2a4e4af4
"Andersson, Anders (1872 - 1939)",c5d980db-ddf1-45dc-a1ba-8366cff70a8d
"Andersson, Anders (1896 - 1976)",503e7c4c-64e0-4f64-af68-9f31a0cd0624
"Andersson, Anders Gustaf (1842 - )",bfd099a4-2547-4c0d-9e1b-2e808f0f3592
"Andersson, Anders Peter (1862 - )",bc74f3b2-1151-4d96-b4be-31e7fdade009
"Andersson, Anna Christina (1857 - )",8e8ce7cb-ba88-41c6-b550-40d5da1f259c
"Andersson, Anna Elisabet (1892 - )",b9a7784e-07d6-4841-b120-9aabdf1b1b65
"Andersson, Anna Elisabeth (1899 - )",7be52a34-d39b-4937-8616-a0a95a982997
"Andersson, Anna Helena (1894 - )",ddf8033f-2930-41cb-9ebd-b3b96bbf39af
"Andersson, Anna Lovisa (1855 - )",1cd8e043-032b-4e82-8c3f-5c094770e4bb
"Andersson, Anton Edvin (1890 - 1958)",11468210-3c24-47cb-bab7-545b62eddad1
"Andersson, Anton Hildebrand (1819 - 1894)",71aefa1f-9ead-4e8a-93b6-24ff62e68ba7
"Andersson, August Olof (1857 - 1921)",76b755bf-7fae-4832-842e-184c708cd40c
"Andersson, Axel Georg (1893 - )",25aa1f93-8151-4ac5-8196-b32505d2c61b
"Andersson, Bertil (1886 - 1961)",ce154ff6-5057-4204-827f-16de4862546f
"Andersson, Björn Erik (1856 - )",a38c5672-c38f-467e-b8a4-dc5b48b64622
"Andersson, Carl Adolf (1862 - )",5e0a9304-bce4-4e5c-8890-f49341749d8e
"Andersson, Carl August (1866 - )",c8630b82-0eca-4073-b0f2-9e59f6ff156d
"Andersson, Carl E. (1892 - 1958)",ff07e3ac-02ac-4b2b-addd-2fd0c8fcac3a
"Andersson, Carl Edvard (1885 - 1952)",e67e3baf-9ddc-4c37-9a02-cb5459bf7dc4
"Andersson, Carl Erik (1893 - 1985)",4a031527-265e-496a-acbf-c9c481cea1d5
"Andersson, Charlotta (1837 - )",6b5d7d08-0705-4ad2-b2e9-57970c99edfa
"Andersson, Charlotte (1837 - 1910)",51475cf6-99b8-4e9d-a45b-2f18e7f5211e
"Andersson, David (1889 - )",54f1c427-2353-4885-aa45-068b8f1b58cb
