caption.sv,uuid
Atelier Gifer (Fotograffirma),78029434-113d-40de-9f43-b48ae815a5e4
Atelier Granbom (Fotograffirma),89e13bb5-2b74-4531-910a-cf70229a2ee6
Atelier Grape (Fotograffirma),5f0edc19-2344-400c-a11a-3232b8f187d9
Atelier Gustin (Fotograffirma),28a892bb-6bcb-43ca-aef6-4aeb91e8c772
Atelier Hagman (Fotograffirma),5dd6c737-0316-4f86-8f2f-866966a9f9b5
Atelier Hedblom (Fotograffirma),62aad112-7282-436e-86e8-f3492f600501
Atelier Hedström (Fotograffirma),e69443bb-8e4c-4a2f-a1cf-17202db187d2
Atelier Jaeger (Fotograffirma),4373131e-90f7-414c-a61f-e6da9cafb8ec
Atelier Jansson (Fotograffirma),9b21706d-4cbb-42ac-9d9e-d26f68cd047e
Atelier Johnsson (Fotograffirma),372eae79-32a1-451d-a99c-89ff739ec16b
Atelier Jonn (Fotograffirma),0075db87-16c6-4d4a-92bc-35846a1b6305
"Atelier Jonn, R. Küller (Fotograffirma)",89509251-830a-4f6b-b534-d6dbbb45cac5
Atelier Kaudern (Fotograffirma),086632f3-6515-4489-af5f-1603a26fd1cd
Atelier Kinnell (Fotograffirma),d3f5db07-10db-4974-ba80-b482c8f52dd2
Atelier Kjellander (Fotograffirma),1cee2e8a-90b7-4f8d-9492-026fdc18c3ed
Atelier Larsson (Fotograffirma),801b9594-542e-4446-8ca3-ff049b97459d
Atelier Lindström (Fotograffirma),c197d0c2-d14f-4459-ae06-2c0daffd85d3
Atelier Lundbom (Fotograffirma),70984219-055f-4b09-934f-f77626dbf038
Atelier Lundin (Fotograffirma),621cd44a-e371-46ff-b690-5a17ae70019a
Atelier Mignon (Fotograffirma),8a9243e6-f0a9-4804-9b65-c788021c5b62
Atelier Populär (Fotograffirma),3926eaff-3259-4512-9eb3-5b31c9d783e3
Atelier Rembrandt (Fotograffirma),441b51c0-5660-4b47-b41b-de885bd3e311
Atelier Tre Kronor (Fotograffirma),136c37bf-9551-4340-8e77-33663f465992
Atelier Vesta (Fotograffirma),56898344-ad97-4d05-90de-5bb0c180d2a0
Ateljé Antonius (Fotograffirma),e2675f6a-eadd-4b33-89ab-e9cf8d8ca1c5
Atelje Flora (Fotograffirma),3c4e5dfe-6580-401d-9187-e63593e417bf
Ateljé Granbom (Fotograffirma),63d64cd2-f09c-416d-994a-ac8113c66108
Ateljé Göta (Fotograffirma),e56881f2-f9e8-4360-905a-4299460b65f0
Ateljé Holmstedt (Fotograffirma),34eae5b7-1280-4fcc-8bb6-35efed56c9f9
Ateljé Savoy (Fotograffirma),a56ef40f-ba2a-4e5b-91b6-e3b02fa609fe
Augusta & Ewelina Borg (Fotograffirma),615536b0-f4c4-4dbc-8595-2080b07dc020
Axel Lindahls Fotografiaffär (Fotograffirma),6348c6ca-2b29-4c4b-a5e6-4d67c1b572ef
Axelssons Atelier (Fotograffirma),79fd5bcc-2c2c-49fd-87de-94ddd19c8483
Axelssons Fotografiatelier (Fotograffirma),5f837d45-5f72-44a4-afa6-3414b60619be
B. E. Hallberg & Comp. (Fotograffirma),b58a25be-8e31-4dfd-a045-95de21eb09ed
Beckmans Atelier (Fotograffirma),0094688a-b4bd-4173-a55d-ae811e6fb9f7
"Bendixen, Bernhard & Adolf Meyer (Fotograffirma)",f533abbb-b1ff-4a61-82ea-df48136e55df
"Benkow, Atelier (Fotograffirma)",2c01081a-e54b-4dc9-8c21-5f135cc4ebfa
"Benkow, Ateljé (Fotograffirma)",8a192b42-9521-4c5d-bb3f-695c597b1de8
Benno Beckemans Fotografiska Magasin (Fotograffirma),cbae0aa7-323a-4424-8105-56563b645f52
Berg & Co Lotten (Fotograffirma),2f32dfb5-9e5e-487b-ad4c-be58da6a50f1
"Berg & Co, C. J. (Fotograffirma)",2351a500-700a-443f-bceb-2b924c1c03a8
